GemName;Usage(GS);%Usage;Usage(NR);Downloads
machinist_mongo;2;0,0027;32;15996
stopwords;1;0,0014;1;752
sort_alphabetical;1;0,0014;4;854
aq1018-sunspot_mongoid;1;0,0014;1;303
workflow_on_mongoid;1;0,0014;6;2854
chosen_rails;1;0,0014;2;78
post_commit;2;0,0027;3;2307
ajaxful_rating_jquery;1;0,0014;6;682
opensrs;1;0,0014;2;5334
phone;3;0,0041;24;12299
magickly;1;0,0014;1;2968
shared-mime-info;1;0,0014;12;12899
testunitxml;1;0,0014;1;4381
require_relative;4;0,0054;29;11795
imagesize;1;0,0014;50;25234
mongoid_spacial;1;0,0014;7;1819
bit_mask;1;0,0014;1;141
clamav;1;0,0014;1;7877
paperclip-meta;2;0,0027;8;1389
ym4r_gm;2;0,0027;3;994
autotest-inotify;1;0,0014;7;4785
packr;2;0,0027;16;7347
mongoid_session_store;2;0,0027;23;4896
rack-auth-ip;2;0,0027;3;1710
syslogger;1;0,0014;10;0
torquebox-rake-support;2;0,0027;3;0
mongoid_nested_set;1;0,0014;5;0
yard-rest-plugin;1;0,0014;3;0
torquebox-messaging;1;0,0014;4;1947
grouped_validations;2;0,0027;11;3288
smurf;3;0,0041;83;22296
jdbc-mysql;3;0,0041;21;76436
kirk;1;0,0014;1;2213
envjs;11;0,015;49;32103
harmony;1;0,0014;6;6483
johnson;11;0,015;54;39659
merb-core;1;0,0014;1;61817
readability;1;0,0014;1;734
shortly;1;0,0014;3;3398
capistrano_rsync_with_remote_cache;2;0,0027;5;9485
central_logger;1;0,0014;20;3753
net-http-spy;2;0,0027;12;7329
linkscape;4;0,0054;7;36476
barby-chunky_png;1;0,0014;2;1081
astrails-safe;2;0,0027;24;9660
email_veracity;1;0,0014;25;5858
unread;1;0,0014;1;330
enumlogic;1;0,0014;5;2667
multitenant;1;0,0014;5;700
active_merchant_ideal;1;0,0014;2;3832
exception_notification_rails3;6;0,0082;107;17365
polish;1;0,0014;5;3785
refinerycms-news;1;0,0014;51;14301
refinerycms-page-images;1;0,0014;41;9466
gettext_activerecord;1;0,0014;34;24106
gettext_rails;1;0,0014;31;13420
tagtreescanner;1;0,0014;1;977
serialized_attributes;1;0,0014;1;398
action_mailer_tls;1;0,0014;13;4931
has_price;1;0,0014;1;1256
fastimage;1;0,0014;23;5595
orm_adapter;5;0,0068;2090;509406
devise_openid_authenticatable;5;0,0068;21;7304
sunspot_mongoid;6;0,0082;21;6089
mongoid_i18n;4;0,0054;5;3943
idn;4;0,0054;13;5495
giternal;4;0,0054;2;3517
hydra;7;0,0095;13;24300
heroku-autoscale;2;0,0027;5;1984
button_form;5;0,0068;1;2534
to_lang;2;0,0027;3;3826
to-csv;3;0,0041;11;4057
haml2slim;1;0,0014;2;3113
mongoid-ancestry;1;0,0014;3;822
mash;2;0,0027;95;26984
rack-recaptcha;2;0,0027;27;8267
errorapp_notifier;1;0,0014;3;1113
acts_as_list-rails3;1;0,0014;1;757
make_voteable;1;0,0014;6;945
quo_vadis;1;0,0014;1;1290
filemanager;1;0,0014;1;3186
acts_as_taggable_on_steroids;1;0,0014;21;5298
has_many_polymorphs;2;0,0027;51;10926
simple_captcha;3;0,0041;17;3642
lucy;1;0,0014;9;1214
remarkable_paperclip;1;0,0014;1;2255
taf2-curb;1;0,0014;14;0
cubus-settingslogic;1;0,0014;3;2687
popen4;4;0,0054;11;29151
disqus;4;0,0054;21;8160
wrest;1;0,0014;9;12924
rack-protection;5;0,0068;5;39366
rack-google-analytics;4;0,0054;12;6064
permalink;3;0,0041;5;1853
compass-fancybox-plugin;3;0,0041;1;1279
sortifiable;1;0,0014;1;944
fake-resque;1;0,0014;2;1447
omniture_client;1;0,0014;5;1517
saintly;1;0,0014;3;2835
volleyball;1;0,0014;3;641
vlad-hg;1;0,0014;3;3411
test_benchmarker;2;0,0027;2;1728
acts_as_follower;2;0,0027;2;102
mongoid_grid;2;0,0027;6;2112
mongo-resque;1;0,0014;1;517
streamio-ffmpeg;1;0,0014;3;11566
streamio-magick;1;0,0014;1;956
logparser;1;0,0014;1;667
tabulatr;1;0,0014;6;1272
formtastic_datepicker_inputs;4;0,0054;17;3210
phony;2;0,0027;6;7084
Saikuro;1;0,0014;155;95737
mynyml-redgreen;3;0,0041;9;6790
torquebox;2;0,0027;3;1916
ts-datetime-delta;2;0,0027;67;22321
rails_xss;1;0,0014;18;5431
immutable_attributes;1;0,0014;3;876
simple_xlsx_writer;2;0,0027;16;2639
app_constants;1;0,0014;14;2033
em-jack;1;0,0014;2;5784
mini_exiftool;2;0,0027;16;16649
em-spec;1;0,0014;2;2948
url_validator;1;0,0014;3;480
ar_mailer_rails3;1;0,0014;13;4345
compass-rgbapng;1;0,0014;8;1689
ghost;3;0,0041;13;20362
libv8;2;0,0027;244;105084
facebook_api;1;0,0014;1;1177
sortable;1;0,0014;6;943
