GemName;Usage(GS);%Usage;Usage(NR);Downloads
kaltura_fu;2;0,0027;1;2253
kaminari;158;0,2153;758;163858
vagrant;3;0,0041;5;52639
thinking-sphinx;67;0,0913;753;203570
ts-delayed-delta;9;0,0123;127;30745
whenever;136;0,1853;1106;292610
cucumber-rails;224;0,3052;885;600571
database_cleaner;338;0,4605;933;615124
capybara-webkit;52;0,0708;22;23423
headless;14;0,0191;24;15741
vcr;58;0,079;69;49671
webmock;89;0,1213;133;162376
simple-rss;12;0,0163;167;62354
redis;85;0,1158;1265;533648
chronic;54;0,0736;1067;453973
RedCloth;98;0,1335;1601;662703
ruby-recaptcha;3;0,0041;62;15999
javan-whenever;4;0,0054;150;0
velir_kaltura-ruby;2;0,0027;4;4747
tripwire_notifier;1;0,0014;20;2925
savon;23;0,0313;281;139471
net-ldap;11;0,015;959;271549
dynamic_form;69;0,094;438;97180
escape_utils;50;0,0681;273;105962
linecache19;4;0,0054;235;260003
test-unit;35;0,0477;215;224529
gherkin;9;0,0123;904;968785
cucumber;116;0,158;953;1036013
rspec;199;0,2711;1785;1946910
mysql;110;0,1499;1734;1723318
slim_scrooge;5;0,0068;56;12473
alchemist;2;0,0027;16;9472
authlogic;84;0,1144;2189;484528
stringex;28;0,0381;352;223880
acts_as_list;74;0,1008;638;189529
princely;2;0,0027;17;6615
cancan;210;0,2861;1488;413488
fastercsv;138;0,188;2392;890987
campaign_monitor_party;1;0,0014;24;7371
acts_as_tree;15;0,0204;207;62256
money;34;0,0463;536;152778
json;166;0,2262;4222;2871033
google_currency;6;0,0082;25;7212
backup;19;0,0259;95;32875
pony;11;0,015;115;72926
mail;34;0,0463;6386;3870102
delayed_job;163;0,2221;2377;353409
daemons;52;0,0708;3372;1571300
andand;12;0,0163;188;83016
searchlogic;18;0,0245;612;178318
validation_reflection;21;0,0286;234;52816
activerecord-tableless;3;0,0041;74;24269
inaction_mailer;2;0,0027;6;4770
acts_as_commentable;12;0,0163;177;36142
query_trace;2;0,0027;12;11914
ruby-prof;51;0,0695;289;178171
bullet;31;0,0422;107;38909
annotate;81;0,1104;240;115222
foreigner;29;0,0395;174;57533
ffaker;49;0,0668;116;44661
metric_fu;36;0,049;165;98241
webrat;87;0,1185;566;565100
mocha;152;0,2071;756;606322
spork;206;0,2807;548;349405
velir_virtualbox;1;0,0014;1;80
devise_invitable;39;0,0531;223;58818
wysihat-engine;1;0,0014;8;6988
ranked-model;1;0,0014;16;1735
rack-ssl;17;0,0232;713;484536
jammit-s3;7;0,0095;62;7546
heroku;80;0,109;1137;542899
rabl;16;0,0218;70;13437
mustache;16;0,0218;95;73864
poirot;1;0,0014;1;503
omniauth;110;0,1499;926;205931
settingslogic;33;0,045;213;60752
rails3-jquery-autocomplete;33;0,045;209;50986
awesome_print;107;0,1458;430;238734
shoulda;135;0,1839;585;363228
fuubar;45;0,0613;70;60676
timecop;142;0,1935;337;159092
mysqlplus;3;0,0041;16;47679
oauth2;27;0,0368;1617;402980
xml-simple;25;0,0341;2939;1132185
text;6;0,0082;73;25802
oauth;60;0,0817;2343;757952
twitter;73;0,0995;861;291878
linkedin;14;0,0191;100;18350
erubis;33;0,045;6484;3733069
libxml-ruby;24;0,0327;487;398785
braintree;18;0,0245;737;230843
populator;18;0,0245;120;45795
nested_layouts;1;0,0014;13;4593
ssl_requirement;12;0,0163;146;26169
ruby-openid;18;0,0245;1324;459215
okkez-open_id_authentication;1;0,0014;1;539
authlogic-oid;4;0,0054;72;28857
email_spec;90;0,1226;247;163675
rack-debug;9;0,0123;11;7561
adzap-ar_mailer;1;0,0014;56;10024
aasm;49;0,0668;636;168569
bitly;22;0,03;315;60779
db_populate;1;0,0014;7;3070
bluecloth;15;0,0204;268;118602
slugged;4;0,0054;13;2259
inherited_resources;97;0,1322;1007;233548
carmen;34;0,0463;218;34612
configatron;16;0,0218;259;90460
resque-scheduler;35;0,0477;317;77373
daemon-spawn;6;0,0082;80;26967
ts-resque-delta;3;0,0041;16;3453
acts_as_geocodable;16;0,0218;42;8407
pickler;3;0,0041;11;8054
sanitize;55;0,0749;566;147317
capistrano-gitflow;3;0,0041;3;4522
sitemap_generator;29;0,0395;222;50800
ancestry;43;0,0586;185;48234
fog;89;0,1213;796;263991
koala;31;0,0422;396;70801
oauth-plugin;10;0,0136;146;30745
guard-compass;12;0,0163;4;4578
guard-livereload;48;0,0654;49;28995
guard-spork;76;0,1035;57;38789
googlecharts;18;0,0245;222;64901
simplecov;104;0,1417;92;89668
pry;91;0,124;44;57995
bourne;15;0,0204;10;12654
factory_girl;161;0,2193;1505;888076
faraday;9;0,0123;1921;561185
coffee-rails;187;0,2548;238;246749
bourbon;15;0,0204;22;6360
hashie;19;0,0259;1168;423170
httparty;74;0,1008;2005;635447
yajl-ruby;70;0,0954;718;537188
fancy-buttons;20;0,0272;147;45090
thin;157;0,2139;799;609110
responders;25;0,0341;986;244901
web-app-theme;28;0,0381;60;30444
guard-bundler;54;0,0736;34;18646
coffee-script;60;0,0817;634;378467
forgery;29;0,0395;100;39537
squeel;18;0,0245;50;12767
flash_cookie_session;15;0,0204;41;7553
sqlite3;164;0,2234;1349;1212489
mongoid;83;0,1131;739;296567
bson_ext;116;0,158;1039;477011
rails-backbone;9;0,0123;19;4382
remarkable_mongoid;6;0,0082;10;8227
prototype-rails;3;0,0041;6;3419
jquery_ui_rails_helpers;1;0,0014;2;859
rails_autolink;14;0,0191;29;5465
validates_existence;2;0,0027;30;8345
validates_timeliness;32;0,0436;260;57637
activevalidators;1;0,0014;6;3996
default_value_for;14;0,0191;68;13004
rack-ssl-enforcer;11;0,015;120;22127
execjs;28;0,0381;600;463414
capistrano_colors;34;0,0463;41;30883
clearance;9;0,0123;184;47071
high_voltage;22;0,03;144;30807
flutie;5;0,0068;66;21623
silent-postgres;43;0,0586;122;26809
jammit;84;0,1144;1120;230229
copycopter_client;5;0,0068;24;12199
paper_trail;29;0,0395;255;65634
gcal4ruby;2;0,0027;35;15560
parallel_tests;39;0,0531;80;53911
jasmine;45;0,0613;151;111922
sham_rack;5;0,0068;15;13178
treetop;9;0,0123;6447;3687472
selenium-webdriver;39;0,0531;1035;855404
seed-fu;6;0,0082;99;18200
ezcrypto;11;0,015;248;76142
rmagick;113;0,154;1417;636392
acts_as_markup;2;0,0027;22;12371
rdiscount;47;0,064;464;269865
activemerchant;69;0,094;843;246630
mark_facets;2;0,0027;13;5417
twitter_oauth;13;0,0177;203;62205
fbgraph;6;0,0082;62;16272
pusher;14;0,0191;165;32721
coffeebeans;3;0,0041;13;2227
therubyracer-heroku;17;0,0232;113;24414
utility_belt;9;0,0123;12;13416
watchr;32;0,0436;76;56264
fakeweb;84;0,1144;296;209361
autotest-rails;44;0,0599;175;129059
autotest-growl;33;0,045;83;103488
taps;27;0,0368;179;119060
bson;17;0,0232;1066;530324
mini_fb;12;0,0163;157;38638
geoip;32;0,0436;295;141531
geokit-geoip-provider;1;0,0014;1;125
mechanize;48;0,0654;605;348606
better_ar;1;0,0014;1;1072
friendly_id;97;0,1322;828;194152
remarkable_activerecord;18;0,0245;96;67566
memcache-client;59;0,0804;827;494193
builder;32;0,0436;7274;4519914
ruport;8;0,0109;118;64008
color;6;0,0082;178;98798
hoe;21;0,0286;718;1152096
acts_as_reportable;6;0,0082;60;24727
archive-tar-minitar;4;0,0054;283;367358
pdf-writer;4;0,0054;155;77985
transaction-simple;1;0,0014;121;76798
dancroak-validates_email_format_of;1;0,0014;5;0
rubyforge;7;0,0095;339;1040688
utility_scopes;1;0,0014;25;3330
htmlentities;40;0,0545;592;274060
right_aws;16;0,0218;519;352636
giraffesoft-resource_controller;1;0,0014;16;0
calendar_date_select;15;0,0204;487;103098
thoughtbot-factory_girl;1;0,0014;138;0
thoughtbot-shoulda;3;0,0041;150;18465
rr;24;0,0327;78;126326
maruku;17;0,0232;110;101567
resthome;1;0,0014;1;1899
fb_graph;20;0,0272;213;61965
prawn;54;0,0736;760;210054
rqrcode-rails3;3;0,0041;2;932
rqrcode;9;0,0123;47;15088
mongoid-paperclip;5;0,0068;61;9320
simple-navigation;27;0,0368;193;66209
aws-ses;14;0,0191;164;25596
rails_code_qa;4;0,0054;20;13883
ZenTest;40;0,0545;501;587058
tiny_tds;7;0,0095;32;15073
activerecord-sqlserver-adapter;6;0,0082;55;71854
comma;8;0,0109;86;15499
declarative_authorization;17;0,0232;328;86189
jrails;14;0,0191;196;47260
edi4r;1;0,0014;4;859
aaronh-chronic;6;0,0082;828;171575
csv_pirate;1;0,0014;3;10955
sortable_table;3;0,0041;8;789
rails-settings-cached;1;0,0014;9;1499
rghost;4;0,0054;37;16744
rghost_barcode;2;0,0027;18;3887
linguistics;5;0,0068;41;9818
rails3_acts_as_paranoid;3;0,0041;64;16219
rack-perftools_profiler;6;0,0082;21;8934
rails-erd;28;0,0381;47;26532
faker;147;0,2003;877;445872
cover_me;9;0,0123;32;18368
Selenium;4;0,0054;20;57416
selenium-client;25;0,0341;169;165561
fuubar-cucumber;12;0,0163;14;9031
unicorn;115;0,1567;723;435682
amazon-ecs;4;0,0054;65;17092
turn;97;0,1322;77;166933
activerecord;16;0,0218;7409;6217944
activesupport;15;0,0204;7424;7181427
mongo;32;0,0436;1082;549094
plucky;4;0,0054;217;121670
acts-as-list;2;0,0027;20;8842
after_commit;11;0,015;267;135388
exception_notification;75;0,1022;411;67142
mega_mutex;2;0,0027;5;2179
ruby-openid-apps-discovery;7;0,0095;985;226279
SystemTimer;70;0,0954;605;371404
barby;15;0,0204;100;31378
macaddr;5;0,0068;407;316558
png;1;0,0014;18;9720
rufus-scheduler;10;0,0136;435;175973
uuid;31;0,0422;476;327165
amazon_seller_central;1;0,0014;1;285
roxml;4;0,0054;64;28064
rforce;3;0,0041;31;11212
facets;6;0,0082;66;106000
asf-soap-adapter;1;0,0014;12;4385
rbtrace;3;0,0041;11;6220
yard;38;0,0518;177;207674
yard-rspec;2;0,0027;7;2777
yard-cucumber;2;0,0027;3;1178
rcov;95;0,1294;539;506075
machinist;54;0,0736;227;146810
guard;92;0,1253;157;128065
culerity;5;0,0068;729;484709
mongo_mapper;28;0,0381;267;130658
hunt;1;0,0014;4;968
rails3-generators;56;0,0763;295;136069
rdoc;37;0,0504;2036;1620351
acl9;6;0,0082;133;34116
ruby-geonames;1;0,0014;6;0
graticule;8;0,0109;98;33516
memcached;16;0,0218;305;125204
ttfunk;4;0,0054;198;59108
tzinfo;23;0,0313;6527;3954688
barista;23;0,0313;179;44972
routing-filter;15;0,0204;202;66368
rails_sql_views;6;0,0082;27;8004
symbolize;2;0,0027;30;7901
mixpanel;4;0,0054;54;6769
rpeg-markdown;1;0,0014;1;3768
minitest;15;0,0204;16;174010
rack-cache;37;0,0504;931;638915
airbrake;83;0,1131;150;21886
git;5;0,0068;110;197627
nifty-generators;59;0,0804;284;170467
powder;8;0,0109;7;14483
is_paranoid;1;0,0014;26;5385
pdfkit;40;0,0545;295;80851
resque-loner;6;0,0082;35;5169
sendgrid;11;0,015;154;27679
spreadsheet;44;0,0599;500;201720
dbd-odbc;2;0,0027;19;29643
ruby-odbc;1;0,0014;22;26597
autotest;73;0,0995;309;262943
ansi;2;0,0027;81;240268
awesome_nested_set;19;0,0259;230;55538
hassle;3;0,0041;174;6214
compass-960-plugin;10;0,0136;96;30424
spork-testunit;10;0,0136;12;8068
acts_as_audited;26;0,0354;135;29361
holidays;6;0,0082;32;18174
attribute_normalizer;13;0,0177;79;15790
rails-geocoder;2;0,0027;36;12750
yui-compressor;37;0,0504;1090;243258
guard-rails;17;0,0232;1;3444
guard-coffeescript;11;0,015;15;11266
metrical;11;0,015;20;11898
jasminerice;6;0,0082;2;1522
guard-rails-assets;3;0,0041;3;1631
growl_notify;21;0,0286;6;5120
octokit;4;0,0054;6;4867
texticle;6;0,0082;71;10436
cocoon;7;0,0095;22;5564
test_notifier;12;0,0163;28;19591
app;3;0,0041;11;5193
typhoeus;22;0,03;295;113237
spree;3;0,0041;37;68000
rubyzip;47;0,064;1682;1013478
rd_find_by_param;1;0,0014;12;17612
seedbed;2;0,0027;1;1578
lockfile;3;0,0041;127;346065
feeds;1;0,0014;1;328
spree_related_products;1;0,0014;4;843
spree_email_to_friend;1;0,0014;4;1437
spree_reviews;1;0,0014;2;409
raspell;3;0,0041;38;23365
thinking-sphinx-raspell;1;0,0014;11;2247
rack-bridge;1;0,0014;2;1893
canable;3;0,0041;28;4102
validates_email_format_of;8;0,0109;63;11929
acts_as_commentable_with_threading;4;0,0054;34;4706
ckeditor;24;0,0327;162;36999
rails_admin;29;0,0395;195;4602
nori;3;0,0041;117;36557
jferris-mocha;1;0,0014;5;3337
rakismet;10;0,0136;58;11780
scoped-search;3;0,0041;7;3739
CFPropertyList;1;0,0014;15;7365
dragonfly;23;0,0313;343;112699
i18n-js;9;0,0123;42;16892
ya2yaml;25;0,0341;164;46881
faraday_middleware;3;0,0041;580;174458
multi_json;9;0,0123;2501;1095233
completeness-fu;2;0,0027;10;2951
localized_country_select;9;0,0123;28;3323
rails_config;15;0,0204;71;18499
rpx_now;4;0,0054;107;22106
coffee-script-source;2;0,0027;634;388487
ajaxful_rating;4;0,0054;43;17061
basic_active_model;2;0,0027;1;881
closure-compiler;12;0,0163;670;196464
globalize3;20;0,0272;190;62889
sinatra;56;0,0763;1189;1181724
resque-lock;3;0,0041;26;10647
exceptional;20;0,0272;396;74089
railroady;16;0,0218;28;13231
xapit;1;0,0014;3;3495
tamtam;2;0,0027;23;9881
mail_style;2;0,0027;27;8803
crypt;1;0,0014;45;15903
yubikey;1;0,0014;1;2300
syntax;19;0,0259;222;182223
rujitsu;1;0,0014;2;1759
attr_encrypted;18;0,0245;117;30404
encryptor;6;0,0082;140;44852
google-spreadsheet-ruby;15;0,0204;103;44738
roo;8;0,0109;107;55451
rubyzip2;3;0,0041;16;28564
resque-pool;10;0,0136;45;10419
steak;38;0,0518;87;53746
mongomatic;2;0,0027;6;14420
mongomatic-rails3;1;0,0014;1;903
ruby-stemmer;4;0,0054;39;13733
activerecord-jdbc-adapter;9;0,0123;23;154067
jruby-openssl;28;0,0381;30;237223
activerecord-jdbcmysql-adapter;9;0,0123;18;88204
net-http-digest_auth;1;0,0014;119;46529
net-http-persistent;1;0,0014;136;75695
engineyard;7;0,0095;54;49802
highrise;2;0,0027;20;5715
acts_as_api;9;0,0123;56;9984
sms_fu;1;0,0014;12;2397
concerned_with;5;0,0068;15;5426
date_validator;17;0,0232;88;24869
transitions;9;0,0123;97;21367
liquid;28;0,0381;287;130185
stamp;8;0,0109;7;2029
resque_spec;19;0,0259;26;13074
ruby_flipper;1;0,0014;2;699
bouncy-castle-java;1;0,0014;25;173342
remarkable;5;0,0068;106;78708
savon_spec;1;0,0014;8;2246
createsend;4;0,0054;31;6275
jasmine-headless-webkit;5;0,0068;7;4249
evergreen;9;0,0123;17;7748
letter_opener;18;0,0245;1;1396
parallel;14;0,0191;113;118197
ar_fixtures;2;0,0027;7;2171
i18n;44;0,0599;6787;4296646
rutils;3;0,0041;8;10808
russian;19;0,0259;108;29062
GeoRuby;3;0,0041;84;40415
rpm_contrib;41;0,0559;385;98196
tiny_mce;20;0,0272;189;49658
sprockets-rails;5;0,0068;8;9600
ruby-progressbar;4;0,0054;229;119305
davetroy-geohash;2;0,0027;4;0
mailcatcher;13;0,0177;8;6492
twilio-rb;2;0,0027;11;2898
linecache;10;0,0136;794;632830
reek;9;0,0123;158;100418
flay;9;0,0123;182;151370
flog;8;0,0109;187;168641
show_me_the_cookies;2;0,0027;4;1454
mailman;3;0,0041;15;5884
rb-inotify;43;0,0586;41;38771
prawn-core;5;0,0068;258;145965
prawn-layout;7;0,0095;287;146141
prawn-format;3;0,0041;68;35323
em-http-request;27;0,0368;148;123321
eventmachine;31;0,0422;1178;1054940
em-websocket;4;0,0054;69;65420
bundler;27;0,0368;7421;3099765
dbf;3;0,0041;11;23891
rinku;6;0,0082;17;2378
rails-dev-tweaks;10;0,0136;2;2604
relish;2;0,0027;4;7970
rspec2-rails-views-matchers;4;0,0054;4;2837
ci_reporter;32;0,0436;138;179388
highline;10;0,0136;1606;1523938
chef;4;0,0054;19;427883
libnotify;43;0,0586;23;26372
auto_excerpt;2;0,0027;1;1949
navigasmic;3;0,0041;29;9549
event-calendar;10;0,0136;41;10243
mail_form;4;0,0054;45;9293
rails_best_practices;17;0,0232;166;133753
best_in_place;4;0,0054;16;5007
resque-status;8;0,0109;61;21693
resque-cleaner;11;0,015;41;6493
resque-retry;14;0,0191;85;19169
resque-progress;1;0,0014;7;1966
routes;3;0,0041;3;643
fabrication;22;0,03;38;32839
pry-doc;11;0,015;8;9787
business_days;1;0,0014;4;1009
cells;27;0,0368;139;43383
deadlinez;1;0,0014;1;2690
differ;5;0,0068;48;13993
fallback;1;0,0014;2;980
less;15;0,0204;170;114363
js_message;1;0,0014;4;661
mailchimp_ses;1;0,0014;2;605
mixpanel_typhoeus;1;0,0014;1;198
monster_mash;1;0,0014;7;3217
redis-objects;7;0,0095;53;23012
rturk;1;0,0014;23;12238
rd_searchlogic;2;0,0027;31;23053
signed_request;1;0,0014;1;1479
simple_enum;3;0,0041;19;7151
subdomain-fu;16;0,0218;210;46221
simpleconfig;2;0,0027;15;6760
tinder;10;0,0136;67;40105
levenshtein;3;0,0041;28;36745
lingua;1;0,0014;3;2648
jshint;1;0,0014;1;646
oink;6;0,0082;72;14643
sqlite3-ruby;63;0,0858;1573;1625982
heroku_release;2;0,0027;1;1903
rspec-cells;4;0,0054;7;3362
remote_syslog_logger;4;0,0054;12;1875
capybara-firebug;5;0,0068;12;4916
sauce;1;0,0014;11;17027
thoughtbot-clearance;3;0,0041;46;0
mogli;9;0,0123;160;37877
facebooker;7;0,0095;177;81285
mislav-will_paginate;5;0,0068;681;0
cloudfiles;6;0,0082;127;84934
paperclip-cloudfiles;3;0,0041;28;7279
youtube-g;2;0,0027;76;17539
contacts;5;0,0068;151;60297
happymapper;1;0,0014;143;42771
pivotal-tracker;2;0,0027;29;12079
loofah;4;0,0054;207;64390
gnumarcelo-campaigning;2;0,0027;17;0
facebooker2;5;0,0068;96;17032
tweetstream;2;0,0027;28;17561
whatlanguage;1;0,0014;8;6137
rsolr;6;0,0082;509;159896
json_pure;21;0,0286;2018;1919087
geokit-rails;5;0,0068;48;8969
multi_db;3;0,0041;13;2765
albino;5;0,0068;13;33247
activeadmin;43;0,0586;138;28494
dalli;72;0,0981;1115;161178
role_model;6;0,0082;28;7971
hominid;16;0,0218;297;41323
dotiw;3;0,0041;23;6523
delocalize;4;0,0054;44;13666
ruby-graphviz;31;0,0422;95;74333
interactive_editor;18;0,0245;53;37311
gchart;1;0,0014;21;10309
is_taggable;1;0,0014;20;5924
workless;2;0,0027;47;4459
octopi;1;0,0014;1;7085
garb;22;0,03;177;81322
ruby-debug-base19;6;0,0082;234;199676
json_spec;5;0,0068;5;2233
ri_cal;18;0,0245;159;44010
bartt-ssl_requirement;6;0,0082;114;18808
faye;9;0,0123;26;31030
foreman;51;0,0695;93;58820
active_link_to;8;0,0109;32;11564
acts_as_rateable;2;0,0027;11;2302
base32_pure;1;0,0014;2;654
curb;26;0,0354;531;279609
excelsior;3;0,0041;23;7666
flash_messages_helper;6;0,0082;10;4593
imgkit;2;0,0027;12;3180
modernizr-rails;4;0,0054;11;4286
nested_form;28;0,0381;96;15338
verhoeff;1;0,0014;1;516
passenger;25;0,0341;187;821244
rails-footnotes;31;0,0422;67;36461
rspec-core;18;0,0245;1338;1347839
rspec-expectations;14;0,0191;1335;1295165
rspec-mocks;15;0,0204;1335;1292097
coderay;6;0,0082;197;195808
has_scope;26;0,0354;950;223773
guid;4;0,0054;37;42441
pacecar;5;0,0068;40;8302
feedzirra;20;0,0272;205;40888
gravatar_image_tag;9;0,0123;71;63400
ruby-paypal;3;0,0041;5;4367
sunspot_rails;46;0,0627;527;97060
usps;1;0,0014;2;807
vestal_versions;17;0,0232;156;26824
shikashi;1;0,0014;1;1670
therubyrhino;7;0,0095;1;4531
simplecov-rcov;11;0,015;12;9689
mongoid-rspec;23;0,0313;44;22379
slim;16;0,0218;59;40354
slim-rails;5;0,0068;25;6924
oa-core;8;0,0109;1199;264258
geocoder;41;0,0559;197;37760
sunspot_with_kaminari;4;0,0054;18;2092
geo_location;2;0,0027;13;4330
kramdown;9;0,0123;33;51698
railties;5;0,0068;6269;3563538
scoped_search;5;0,0068;31;6276
pickle;53;0,0722;168;120571
capybara-mechanize;1;0,0014;5;10797
addressable;24;0,0327;2464;1167664
rack-api;1;0,0014;2;974
unicode;10;0,0136;86;42272
tilt;6;0,0082;1413;1250502
riddle;5;0,0068;568;230820
racksh;5;0,0068;2;10930
grape;7;0,0095;28;6557
rack-flash;14;0,0191;5;52081
mongoid-tree;7;0,0095;20;7384
rails-i18n;7;0,0095;18;12830
delorean;26;0,0354;62;25041
meta-tags;9;0,0123;58;9035
truncate_html;13;0,0177;262;76741
chargify_api_ares;8;0,0109;101;21700
date_range;1;0,0014;1;478
solr-ruby;3;0,0041;26;17978
ruby_protobuf;1;0,0014;11;13094
image_science;2;0,0027;100;45044
RubyInline;7;0,0095;135;154760
image_voodoo;1;0,0014;3;4356
rack-openid;13;0,0177;1077;264585
open_id_authentication;1;0,0014;2;174
openid-redis-store;1;0,0014;1;658
aws;9;0,0123;100;159593
css_parser;8;0,0109;142;41147
rubber;2;0,0027;18;29380
s3sync;4;0,0054;15;20980
open4;9;0,0123;908;332790
spidr;1;0,0014;7;8607
grit;8;0,0109;79;74325
deadweight;10;0,0136;6;8037
vanity;2;0,0027;67;15121
locale;4;0,0054;74;76582
resque-lifecycle;1;0,0014;2;776
resque-restriction;3;0,0041;9;3120
crummy;5;0,0068;56;11006
sunnytrail;2;0,0027;5;2068
analytical;3;0,0041;22;16999
rollout;6;0,0082;28;9387
log4r;6;0,0082;128;224659
lumber;1;0,0014;4;6453
gelf;3;0,0041;10;11957
log4r-gelf;1;0,0014;2;3020
graylog2_exceptions;1;0,0014;5;3462
remarkable_rails;5;0,0068;61;49482
ruby-debug-base;3;0,0041;781;604260
ruby-debug-ide;4;0,0054;17;169552
hirefire;6;0,0082;57;5115
html5-boilerplate;8;0,0109;93;25315
mongoid_denormalize;2;0,0027;2;1251
delayed_job_mongoid;8;0,0109;186;17600
simplegeo;6;0,0082;42;7323
ice_cube;6;0,0082;48;25698
ruby-debug-pry;2;0,0027;2;684
soap4r;15;0,0204;251;114211
browser;5;0,0068;36;8630
public_suffix_service;3;0,0041;13;7989
stackdeck;2;0,0027;49;32144
ruby-net-ldap;1;0,0014;47;32886
god;16;0,0218;130;127776
rack-webconsole;8;0,0109;2;1854
yahoo_term_extraction;1;0,0014;1;410
collectiveidea-delayed_job;1;0,0014;33;0
sdsykes-read_from_slave;1;0,0014;1;0
temporals;1;0,0014;2;875
crack;11;0,015;2255;873291
css_sprite;1;0,0014;3;9557
gdata;3;0,0041;190;79708
aegis;3;0,0041;23;14816
exifr;4;0,0054;77;41222
postmark-rails;20;0,0272;247;27119
remotipart;6;0,0082;99;22628
teambox-permalink_fu;1;0,0014;3;3075
typed_serialize;1;0,0014;15;6853
yahoo-weather;1;0,0014;15;4337
gmaps4rails;10;0,0136;51;22208
authlogic-connect;1;0,0014;19;10845
websolr-sunspot_rails;2;0,0027;87;13757
dtaus;1;0,0014;2;1241
gsl;1;0,0014;17;23377
systemu;6;0,0082;126;728944
vpim;6;0,0082;125;28752
nested_set;21;0,0286;75;41978
google-adwords-api;2;0,0027;9;2229
mixlib-authentication;1;0,0014;20;329172
mixlib-config;1;0,0014;22;362395
active_presenter;2;0,0027;21;9172
recurrence;1;0,0014;32;8222
rastman;1;0,0014;2;1379
vidibus-service;1;0,0014;2;985
vidibus-validate_uri;1;0,0014;2;1637
vidibus-secure;1;0,0014;2;1281
vidibus-oauth2_server;1;0,0014;2;908
gmail;2;0,0027;20;13356
bond;6;0,0082;15;25352
redgreen;19;0,0259;101;81498
edouard-htmldiff;1;0,0014;2;581
rngtng-bounce-email;1;0,0014;1;248
tabs_on_rails;6;0,0082;68;18853
ruby-string-match-scorer;1;0,0014;2;579
active_reload;42;0,0572;21;9670
bitfields;2;0,0027;12;4675
oa-openid;4;0,0054;953;212111
zencoder;8;0,0109;75;17136
gattica;3;0,0041;24;20227
doubledrones-annotate;2;0,0027;1;903
twitter-text;2;0,0027;38;18239
tweet-button;7;0,0095;18;3517
http_accept_language;8;0,0109;65;9251
s3;4;0,0054;236;33388
block_helpers;1;0,0014;22;8291
indextank;3;0,0041;53;8425
campaigning;1;0,0014;11;3118
rack-rewrite;15;0,0204;201;45552
domainatrix;6;0,0082;42;15461
enumerated_field;1;0,0014;1;371
freshbooks.rb;1;0,0014;7;3457
hasoffers;1;0,0014;1;1260
Linguistics;2;0,0027;7;2575
mail_merge;1;0,0014;1;214
nettica;1;0,0014;18;23711
rails_asset_packager;1;0,0014;4;1714
responds_to_parent;5;0,0068;44;11437
rexml-expansion-fix;3;0,0041;27;7982
right_http_connection;6;0,0082;350;351100
runt;1;0,0014;22;5945
tlattr_accessors;1;0,0014;12;4395
ym4r;3;0,0041;62;26747
zip;5;0,0068;62;42256
test_benchmark;3;0,0041;10;7986
rails-dev-boost;15;0,0204;40;709
eycap;6;0,0082;38;23361
encrypted_cookie_store;1;0,0014;2;548
geokit-rails3;13;0,0177;189;29763
web_translate_it;1;0,0014;13;22731
dynport-capistrano_rsync_with_remote_cache;1;0,0014;1;233
paypal-express;2;0,0027;7;2781
kontocheck;1;0,0014;2;295
king_dtaus;2;0,0027;6;2289
supernova;1;0,0014;2;1873
factory_girl_generator;4;0,0054;19;8872
net-scp;9;0,0123;1594;993196
capistrano_mailer;1;0,0014;5;8238
SyslogLogger;12;0,0163;117;65897
cooloptions;1;0,0014;1;3850
map_by_method;3;0,0041;21;16546
rankles;1;0,0014;1;480
flvorflv;1;0,0014;1;510
feedvalidator;1;0,0014;3;1920
flickraw;3;0,0041;91;30223
daemon_controller;4;0,0054;188;385097
parseexcel;2;0,0027;38;15313
mactag;2;0,0027;1;5059
rspec_tag_matchers;2;0,0027;10;7360
geoip_city;4;0,0054;37;13716
ambethia-recaptcha;2;0,0027;69;0
google4r-checkout;3;0,0041;38;9501
keyword_search;1;0,0014;6;5725
negval-deadlock_retry;1;0,0014;1;450
fast_xs;9;0,0123;65;34869
flying-sphinx;3;0,0041;28;10950
hirefireapp;9;0,0123;60;3408
zencoder-fetcher;2;0,0027;2;3537
guard-annotate;7;0,0095;6;2086
rubyist-aasm;1;0,0014;236;0
libxslt-ruby;1;0,0014;6;12402
show_for;15;0,0204;43;16875
stripe;3;0,0041;12;5538
gravatarify;2;0,0027;11;5834
csv_builder;3;0,0041;19;5133
textmate_backtracer;2;0,0027;3;467
guard-cucumber;38;0,0518;25;24824
guard-pow;9;0,0123;11;3967
jsmin;3;0,0041;68;18388
sinatra-content-for;1;0,0014;1;8938
sinatra-support;1;0,0014;1;1984
sequel;13;0,0177;260;325148
classifier;2;0,0027;14;49879
contest;1;0,0014;2;12132
geoplanet;1;0,0014;3;3000
fast_gettext;7;0,0095;49;34194
gettext_i18n_rails;8;0,0109;34;27682
paypal_adaptive;8;0,0109;34;8980
madmimi;1;0,0014;38;7907
beanstalk-client;8;0,0109;61;37975
gettext;11;0,015;89;91418
has_translations;2;0,0027;4;2423
capybara-envjs;14;0,0191;42;25767
lazy_high_charts;4;0,0054;23;4466
later_dude;5;0,0068;12;4769
ghazel-daemons;5;0,0068;65;11956
ai4r;1;0,0014;4;7643
db-charmer;6;0,0082;26;22053
blaxter-delayed_job;1;0,0014;1;4258
hungryblank-cache-money;1;0,0014;1;760
super_exception_notifier;1;0,0014;22;14946
rack-facebook-signed-request;1;0,0014;3;550
